eq,DIFFICULTY,DIRECTIONS
Aghar Caverns,low-mid,Pal - 7e5ses3e2se
Ancient Keep,high,"Gargath's Entrance - 2wsd(op recess) -
 unw3n4us (Lord Gargath) d2w (Keeper) - fly - 2nds (Valinda&maids) e (butler) -
 fly - e2s2wd (healer&priest) 2eu (trainees) - pull trophy - e - op  
 amosnevine - n (Erebus) swdw4n  (elite guard) n (Starden&aides) w 
(treasure room) e2sw2s (Vauld&jaguar) 2e 
 (Evaro) 4n (statue&Amity) s2d (warlock)  2uw2n (spellcaster) n (Kaligath)"
Argand Keep,mid,Tarsis - 8n3wnw
Balifor Bay (Sh'iar),all,"Bali: Where the South Pier Meets the Bay, w,2n,3w4ne
 climb ladder to agro mobs - nw (mem room)
 2enwu (Karine) uus (Shi'ar)"
Blood Sea (Istar),mid,Bal - 4se4n2e16ne5n3d
Boku,mid,"Nerara - 5w3nen3eu
 3wsw3s5e : climb cliff, run around find the town, l healer, get axe, go to The Path Ends exits s. cut/chop/hack tree or something, nn get chips corpse, climb ladder into kobolds cave, unl desk in commander's room, get all rack/shelf in kitchen, unl door near kitchen; unl steel door (might be missing a key),kill all guards, kill overseer(shouts) loot key, log ends here"
Crystal Quest,mid-high,"Pal square - 3e2n3w11nw4n not sure of the start - kill spider, get crystal hole west exit, exit spin west, dd,n, kill lim dam knight blind/hold, log stops and starts again at killing two dragons (e 3s w stand light for recall), thief down somewhere and disable."
Crytic Forest,mid,N.Gate Bal - 2n2ene3n2enes5e2seses2w2se
Faerie Kingdom ,mid-high,"Sol e.gate - 6e3n - stand ring - s2ene2s3e7s - wrong dirs, but need to head south, get key 3.pot
 (door - the mat is trapped when you try to go through it) - s - ws(go alone) -
 s2wu3enw(Maanx) - 2n(Gryff) - push throne 
 - n(Queen) (another keyword missing to get to queen)"
Fyzian Riddler,,"kill zorwil loot scroll of history, from well 2wnwn buy rope and grappling hook, trade histroy man at well, unl seal, move seal, d, kill skeletal.guardian, find guardian chamber loot chest, go to Bottom of the Cliff, throw hook, trade skull man, unl boulder, move boulder, storage room get ledger shelf, 2wn trade ledger caretaker, s get wolf.hide shelf, find man trade wolf man, go down hatch, find second level, get keys from Sirens unl hatch up, loot quill chest, find man, trade quill man, kill yellow dragon loot, green cavern to man, trade yellow man, kill riddler"
